stocks
JSE:BIL
JSE:SNH
JSE:SOL
JSE:VOD
JSE:AGL
JSE:MNP
JSE:MEI
JSE:AMS
JSE:ANG
JSE:GRT
JSE:GFI
JSE:MRP
JSE:NTC
JSE:SGL
JSE:PFG
JSE:IMP
JSE:AVI
JSE:TKG
JSE:KIO
JSE:IPL
JSE:CLS
JSE:EXX
JSE:ASR
JSE:HAR
JSE:ARI
JSE:EOH
JSE:COH
JSE:KAP
JSE:BAW
JSE:TON
JSE:NPK
JSE:SPG
JSE:ITE
JSE:RCL
JSE:LON
JSE:ILV
JSE:BLU
JSE:AFE
JSE:ZED
JSE:IPF
JSE:OMN
JSE:DTC
JSE:GND
JSE:NT1
JSE:RBP
JSE:ADH
JSE:MSP
JSE:AIP
JSE:MPT
JSE:ASC
JSE:PAN
JSE:CAT
JSE:AFX
JSE:MUR
JSE:ARL
JSE:IAP
JSE:MTA
JSE:CIL
JSE:NVS
JSE:BWN
JSE:HDC
JSE:CLR
JSE:RBX
JSE:CGR
JSE:AFT
JSE:ACT
JSE:PGL
JSE:HSP
JSE:ACL
JSE:NEP
JSE:S32
JSE:GLN
JSE:GRF
JSE:SAP
JSE:AWA
JSE:CSB
JSE:EQU
JSE:PPC
